      Histogram   Peak#   MatchedTruePeak    Position      PosErr        Diff     Sigma    SigErr      Integral      IntErr
          Ex_d5      10           2.52335     2.52335     0.00000     0.00000   0.05000   0.05454       0.02287     0.19549
          Ex_d5      11           3.06184     3.06184     0.00000     0.00000   0.05000   0.04364       0.00000     0.49446
          Ex_d5      12           3.13387     3.13387     0.00000     0.00000   0.06779   0.02393       0.66583     0.74421
          Ex_d5      13           3.35820     3.35820     0.00000     0.00000   0.12000   0.05001       1.11699     0.64232
          Ex_d5      14           3.72419     3.72419     0.00000     0.00000   0.05023   0.05630       0.96042     0.56358
          Ex_d5      15           3.79149     3.79149     0.00000     0.00000   0.05000   0.05460       0.00000     0.23175
          Ex_d5      16           3.83917     3.83917     0.00000     0.00000   0.10438   0.01472       0.00000     0.21262
          Ex_d5      17           4.11590     4.11590     0.00000     0.00000   0.05000   0.00875       4.48162     0.99290
          Ex_d5      18           4.22580     4.22580     0.00000     0.00000   0.06725   0.01142       2.58913     0.75830
          Ex_d5      19           4.36015     4.36015     0.00000     0.00000   0.05000   0.05447       3.10359     0.82928
          Ex_d5      20           4.39810     4.39810     0.00000     0.00000   0.05000   0.05462       0.00000     0.45011
          Ex_d5      21           4.65200     4.65200     0.00000     0.00000   0.09805   0.01308       0.00000     0.25529
          Ex_d5      22           4.75300     4.75300     0.00000     0.00000   0.05586   0.01355       5.27671     1.19944
          Ex_d5      23           4.84830     4.84830     0.00000     0.00000   0.05000   0.05449       1.80342     0.86942
          Ex_d5      24           4.86000     4.86000     0.00000     0.00000   0.05000   0.05444       0.00000     0.40401
          Ex_d5      25           4.96360     4.96360     0.00000     0.00000   0.07911   0.01240       0.00000     0.38188
          Ex_d5      26           5.29760     5.29760     0.00000     0.00000   0.05000   0.05447       4.81922     1.11783

